<<<<<<< HEAD
;Subject;Test;FCz;FCz Oz;FCz O1;FCz PO8;FCz O2;FCz PO7;FCz PO3;FCz PO4;Oz Oz;Oz O1;Oz PO8;Oz O2;Oz PO7;Oz PO3;Oz PO4;O1 O1;O1 PO8;O1 O2;O1 PO7;O1 PO3;O1 PO4;PO8 PO8;O2 PO8;PO7 PO8;PO3 PO8;PO4 PO8;O2 O2;O2 PO7;O2 PO3;O2 PO4;PO7 PO7;PO7 PO3;PO7 PO4;PO3 PO3;PO3 PO4;PO4 PO4
0;2S10;Resting;1.0;0.06826706676669167;0.07001750437609403;0.07051762940735183;0.07014253563390847;0.06314078519629908;0.07514378594648662;0.09302325581395349;1.0;0.5281320330082521;0.33895973993498374;0.4414853713428357;0.233183295823956;0.41410352588147037;0.25106276569142283;1.0;0.5740185046261566;0.26756689172293074;0.16691672918229558;0.40197549387346837;0.1781695423855964;1.0;0.20517629407351837;0.15153788447111777;0.31820455113778445;0.14166041510377594;1.0;0.4899974993748437;0.26744186046511625;0.3537134283570893;1.0;0.16129032258064516;0.2591897974493623;1.0;0.30207551887971995;1.0
0;2S11;Resting;1.0;0.0671417854463616;0.0692673168292073;0.0708927231807952;0.06701675418854713;0.056264066016504126;0.08202050512628158;0.08914728682170543;1.0;0.502750687671918;0.40497624406101523;0.4829957489372343;0.22755688922230558;0.40172543135783945;0.23618404601150286;1.0;0.491997999499875;0.3448362090522631;0.18129532383095773;0.4183545886471618;0.2094273568392098;1.0;0.2821955488872218;0.1487871967991998;0.37484371092773194;0.15703925981495373;1.0;0.3575893973493373;0.2856964241060265;0.2811952988247062;1.0;0.17029257314328583;0.22955738934733683;1.0;0.25056264066016504;1.0
0;2S12;Resting;1.0;0.08052013003250813;0.07889472368092024;0.08264566141535384;0.07001750437609403;0.08152038009502376;0.07551887971992999;0.06976744186046512;1.0;0.5132533133283321;0.2686921730432608;0.4414853713428357;0.2229307326831708;0.41610402600650165;0.2973243310827707;1.0;0.4647411852963241;0.2758189547386847;0.15866466616654162;0.5122530632658164;0.20630157539384847;1.0;0.17341835458864716;0.12040510127531882;0.3220805201300325;0.1345336334083521;1.0;0.40872718179544887;0.24968742185546386;0.4568642160540135;1.0;0.1531632908227057;0.32683170792698174;1.0;0.26219054763690924;1.0
0;2S3;Dots;1.0;0.05593745787842027;0.058768028036123465;0.060183313114975066;0.05398301657905378;0.056813586736756974;0.06314867232780698;0.06031810217010379;1.0;0.3408141258929775;0.26984768836770456;0.25225771667340613;0.19241137619625287;0.19193961450330232;0.18418924383340074;1.0;0.39230354495214986;0.2509098261221189;0.19503976277126298;0.22631082356112683;0.1761019005256773;1.0;0.20764253942579863;0.1577705890281709;0.2362852136406524;0.15082895268904165;1.0;0.2378352877746327;0.15467044076021028;0.19173743092060924;1.0;0.12461248146650492;0.18102170103787574;1.0;0.1597250303275374;1.0
0;2S4;Dots;1.0;0.07608842162016444;0.06806847284000539;0.06941636339129263;0.06503571909960912;0.06496832457204475;0.07871680819517456;0.07042728130475806;1.0;0.25320124005930716;0.24039627982207845;0.21734735139506672;0.15615312036662624;0.2870332928966168;0.2025879498584715;1.0;0.28204609785685403;0.1821000134789055;0.1327672193017927;0.29667071033832054;0.18338050950262838;1.0;0.16868850249359751;0.12879094217549536;0.3397358134519477;0.1628925731230624;1.0;0.25077503706699017;0.2201779215527699;0.2727456530529721;1.0;0.15049198005121983;0.2509098261221189;1.0;0.22577166734061194;1.0
0;2S5;Dots;1.0;0.0761558161477288;0.07709933953362987;0.0735274295727187;0.07912117536056072;0.0761558161477288;0.09179134654266073;0.09266747540099744;1.0;0.447836635665184;0.3268634586871546;0.4245181291279148;0.2697802938401402;0.34559913735004716;0.37626364739183177;1.0;0.43368378487666803;0.31500202183582693;0.21202318371748213;0.39237093947971424;0.3060385496697668;1.0;0.23176978029384013;0.17798894729747944;0.325448173608303;0.2186278474187896;1.0;0.3810486588489015;0.26405175899716943;0.43786224558565845;1.0;0.19079390753470818;0.3434425124679876;1.0;0.3484297075077504;1.0
0;2S6;Dots;1.0;0.06375522307588624;0.0638226176034506;0.06368782854832188;0.060992047445747405;0.05957676236689581;0.0752796872893921;0.06739452756436178;1.0;0.5669227658714112;0.33697263782180886;0.37828548321876265;0.26789324706833806;0.36911982747000943;0.34000539156220516;1.0;0.48227523925057286;0.2670845127375657;0.20164442647257041;0.4111066181426068;0.26580401671384285;1.0;0.17832591993530125;0.15103113627173473;0.36487397223345464;0.19187221997573797;1.0;0.35712360156355305;0.19348968863728266;0.31062137754414343;1.0;0.16929505324167676;0.40921957137080467;1.0;0.2843375117940423;1.0
0;2S8;Dots;1.0;0.07231432807656019;0.07366221862784741;0.07137080469065912;0.07022509772206496;0.06685537134384688;0.07858201914004583;0.08417576492788785;1.0;0.5618681763040841;0.3504515433346812;0.5259468931122793;0.31143011187491576;0.48874511389675157;0.41002830570157706;1.0;0.4864536999595633;0.3924383340072786;0.24390079525542527;0.5476479309880038;0.31675427955250035;1.0;0.26270386844588217;0.1886372826526486;0.40072786089769513;0.21505593745787843;1.0;0.40288448577975466;0.34337511794042325;0.4268769375926675;1.0;0.22846744844318642;0.32153929100957;1.0;0.3931796738104866;1.0
0;2S9;Dots;1.0;0.060520285752796874;0.060520285752796874;0.0646987464617873;0.06105944197331177;0.06442916835152986;0.06517050815473784;0.07029249224962933;1.0;0.5291818304353686;0.3709394797142472;0.2928966167947163;0.2547513141932875;0.447095295861976;0.3633912926270387;1.0;0.5030327537403962;0.2191670036393045;0.19173743092060924;0.4832187626364739;0.2507076425394258;1.0;0.16740800646987464;0.1688906860762906;0.417104731095835;0.20198139911039223;1.0;0.2580536460439412;0.18614368513276722;0.2769241137619625;1.0;0.18365008761288584;0.3058363660870737;1.0;0.31392370939479713;1.0
0;2S10;Dots;1.0;0.0844453430381453;0.09051085051893787;0.08606281169968999;0.0798625151637687;0.06961854697398571;0.10553983016579054;0.10978568540234533;1.0;0.479512063620434;0.31688906860762905;0.3633912926270387;0.17778676371478636;0.38360965089634724;0.32025879498584714;1.0;0.5688098126432134;0.210877476748888;0.12286022374983151;0.4365143550343712;0.21236015635530395;1.0;0.1608033427685672;0.10257447095295862;0.37862245585658444;0.161140315406389;1.0;0.4229680549939345;0.21835826930853214;0.40605202857527967;1.0;0.1295996765062677;0.25198813856314867;1.0;0.2836635665183987;1.0
